empresa,segmento,ranking,exportacao,percentual
Bunge Alimentos,"óleo, fari. E conservas",1,5809,56.4
Cargill,"óleos, fari. E conservas",2,7616.1,74.8
JBS,carne bovina,3,2361,33
BRF Sadia,aves e suinos,4,2571.4,37.5
BRF,aves e suinos,5,2297.7,33.6
ADM,"óleos, fari. E conservas",6,2808.9,53.2
Coopersucar-Cooperativa,açucar e alcool,7,,
Unilever,"óleos, fari. E conservas",8,,
Louis Dreyfus,"óleos, fari. E conservas",9,2595.9,71.4
BASF,adubos e defensivos,10,380.8,12.4
Coamo,atacado e comércio exterior,11,1034.4,34
Souza Cruz,fumo,12,614.3,20.3
Nestlê ,leite e derivados,13,,
Suzano,madeira e celulose,14,1375.3,52.8
Heringer,adubos e defensivos,15,2.6,0.1
CNH,maquinas equipamentos e ferramentas,16,360.1,14
Mafrig,carne bovina,17,887.7,36.4
Bunge Fertilizantes,adubos e defensivos,18,77.3,3.2
Bayer,adubos e defensivos,19,,
Amaggi,atacado e comércio exterior,20,1669.7,75.8
Coopersucar,açúcar e alcool,21,,
Klabin ,segumento madeira e celulose,22,412,19.9
Syngenta,adubos e defensivos,23,92.3,4.5
Fibria,madeira e celulose,24,1722.5,86.1
Aurora,aves e suinos,25,,
Kraft Foods,"óleos, fari. E conservas",26,30.3,1.6
Frigorífico Minerva,carne bovina,27,1083.5,57
Dupont,adubos e defensivos,28,74.1,4
Mosaic,adubos e defensivos,29,37.6,2.1
Pepsico,"óleos, fari. E conservas",30,,
Vale fertilizantes,adubos e defensivos,31,,
Cooxupe,café,32,688,43.2
Duratex,madeira e celulose,33,55.6,3.6
Iara,adubos e defensivos,34,59.2,3.9
C. Vale,aves e suinos,35,200.6,13.7
Ceara,aves e suinos,36,,
Cosan Açucar e Alcool,açucar e alcool,37,,
Ultrafértil,adubos e defensivos,38,,
Cosan,açucar e alcool,39,181.6,15
Noble,algodão e grãos,40,,
Caramuru,"óleos, fari. E conservas",41,470.1,43.3
Itambé,leite e derivados,42,35.5,3.4
Camera,"óleos, fari. E conservas",43,392.4,38.6
Usaçucar,açucar e alcool,44,877.6,86.3
Ajinomoto,"óleos, fari. E conservas",45,,
Granol,"óleos, fari. E conservas",46,353.1,35.1
Cocamar,"óleos, fari. E conservas",47,121.7,12.3
Lar,algodão e grãos,48,169,17.1
M. Dias Branco,"óleo, fari. E conservas",49,1.1,0.1
Bianchini,"óleo, fari. E conservas",50,888.8,93.1
Caterpillar,"Máquinas, equipamentos e ferramentas",51,,
LDC Bioenergia,açucar e alcool,52,,
Multigrain,algodão e grãos,53,,
Fiagril,atacado e comércio exterior,54,91.3,9.9
Comigo,"óleos, fari. E conservas",55,,
Raízen Tarumã,açucar e alcool,56,,
Monsanto,adubos e defensivos,57,,
Belagrícola,algodão e grãos,58,370.2,45.8
CONAB,diversos,59,,
International Paper,madeira e celulose,60,,
Tangará Foods,leite e derivados,61,434.6,56.6
Doux,aves e suinos,62,,
Parmalat,leite e derivados,63,,
Usina Caeté ,açucar e alcool,64,,
Garoto,leite e derivados,65,,
Integrada,atacado e comércio exterior,66,56.7,7.9
Copacol,aves e suinos,67,,
Castrolanda,algodão e grãos,68,13.5,2
Vigor,leite e derivados,69,,
Coopavell,aves e suinos,70,,
J. Macedo,"óleos, fari. E conservas",71,,
Cooperalfa,"óleos, fari. E conservas",72,29.9,4.5
Cenibra,madeira e celulose,73,625.7,94.1
Cooperativa Agrária,algodão e grãos,74,97.5,15
Auto Alegre,açucar e alcool,75,245.8,39.2
Mataboi,carne bovina,76,,
Algar Agro,"óleos, fari. E conservas",77,255.8,42
Grupo Orsa,madeira e celulose,78,179.2,29.9
Yoki,"óleos, fari. E conservas",79,18.6,3.1
FMC Química,adubos e defensivos,80,11.7,2
Coopercitrus,adubos e defensivos,81,,
Açúcar Guarani,açucar e alcool,82,,
Camil ,algodão e grãos,83,,
Philip Morris,fumo,84,,
Fertipar,adubos e defensivos,85,60,11
Jacto,maquinas equipamentos e ferramentas,86,,
Frimesa,leite e derivados,87,,
Anglo American - Coopebras,adubos e defensivos,88,0,0
Vicunha,Têxtil,89,94.2,18
Universal Leaf,fumo,90,,
Diplomata,aves e suinos,91,162.9,31.4
Tortuga,nutrição e saúde animal,92,14.5,2.8
Usina da Pedra,açucar e alcool,93,,
LDC Agroindustrial,fruticultura,94,442.1,88.6
Usina Coruripe,açucar e alcool,95,,
Usina Colombo,açucar e alcool,96,,
Interagrícola,atacado e comércio exterior,97,,
Big Frango,aves e suinos,98,,
LBR ,leite e derivados,99,,
Óleoplam,"óleo, fari. E conservas",100,,
